DATE,LINE,RESULT,,,,TOTAL_ONES,,
,,,,,,1381,,
0.2150,0,0,,,,,,
0.2150,0.1,0,,,,,,
0.2150,0.2,0,,,,,,
0.2150,0.17,0,,,,,,
0.2150,0.4,0,,,,,,
0.2150,0.5,0,,,,,,
0.2150,0.6,0,,,,,,
0.2150,0.7,0,,,,,,
0.2150,0.8,0,,,,,,
0.2150,0.9,0,,,,,,
0.2150,0.11,0,,,,,,
0.2150,0.12,0,,,,,,
0.2150,0.13,0,,,,,,
0.2150,0.14,0,,,,,,
0.2150,0.15,0,,,,,,
0.2150,0.16,0,,,,,,
0.2150,0.18,0,,,,,,
0.2150,0.19,0,,,,,,
0.2150,0.21,0,,,,,,
0.2150,0.22,0,,,,,,
0.2150,0.23,0,,,,,,
0.2150,0.24,0,,,,,,
0.2155,0,0,,,,,,
0.2155,0.1,0,,,,,,
0.2155,0.2,0,,,,,,
0.2155,0.17,0,,,,,,
0.2155,0.4,0,,,,,,
0.2155,0.5,0,,,,,,
0.2155,0.6,0,,,,,,
0.2155,0.7,0,,,,,,
0.2155,0.8,0,,,,,,
0.2155,0.9,0,,,,,,
0.2155,0.11,0,,,,,,
0.2155,0.12,0,,,,,,
0.2155,0.13,0,,,,,,
0.2156,0.14,0,,,,,,
0.2156,0.15,0,,,,,,
0.2156,0.16,0,,,,,,
0.2156,0.18,0,,,,,,
0.2156,0.19,0,,,,,,
0.2156,0.21,0,,,,,,
0.2156,0.22,0,,,,,,
0.2156,0.23,0,,,,,,
0.2156,0.24,0,,,,,,
0.0220,0,0,,,,,,
0.0220,0.1,0,,,,,,
0.0220,0.2,0,,,,,,
0.0220,0.17,0,,,,,,
0.0220,0.4,0,,,,,,
0.0220,0.5,0,,,,,,
0.0220,0.6,0,,,,,,
0.0220,0.7,0,,,,,,
0.0220,0.8,0,,,,,,
0.0220,0.9,0,,,,,,
0.0220,0.11,0,,,,,,
0.0220,0.12,0,,,,,,
0.0220,0.13,0,,,,,,
0.0220,0.14,0,,,,,,
0.0220,0.15,0,,,,,,
0.0220,0.16,0,,,,,,
0.0220,0.18,0,,,,,,
0.0220,0.19,0,,,,,,
0.0220,0.21,0,,,,,,
0.0220,0.22,0,,,,,,
0.0220,0.23,0,,,,,,
0.0220,0.24,0,,,,,,
0.0225,0,0,,,,,,
0.0225,0.1,0,,,,,,
0.0225,0.2,0,,,,,,
0.0225,0.17,0,,,,,,
0.0225,0.4,0,,,,,,
0.0225,0.5,0,,,,,,
0.0225,0.6,0,,,,,,
0.0225,0.7,0,,,,,,
0.0225,0.8,0,,,,,,
0.0225,0.9,0,,,,,,
0.0225,0.11,0,,,,,,
0.0225,0.12,0,,,,,,
0.0225,0.13,0,,,,,,
0.0225,0.14,0,,,,,,
0.0225,0.15,0,,,,,,
0.0225,0.16,0,,,,,,
0.0225,0.18,0,,,,,,
0.0225,0.19,0,,,,,,
0.0225,0.21,0,,,,,,
0.0225,0.22,0,,,,,,
0.0225,0.23,0,,,,,,
0.0225,0.24,0,,,,,,
0.2210,0,0,,,,,,
0.2210,0.1,0,,,,,,
0.2210,0.2,0,,,,,,
0.2210,0.17,0,,,,,,
0.2210,0.4,0,,,,,,
0.2210,0.5,0,,,,,,
0.2210,0.6,0,,,,,,
0.2210,0.7,0,,,,,,
0.2210,0.8,0,,,,,,
0.2210,0.9,0,,,,,,
0.2210,0.11,0,,,,,,
0.2210,0.12,0,,,,,,
0.2210,0.13,0,,,,,,
0.2210,0.14,0,,,,,,
0.2210,0.15,0,,,,,,
0.2210,0.16,0,,,,,,
0.2211,0.18,0,,,,,,
0.2211,0.19,0,,,,,,
0.2211,0.21,0,,,,,,
0.2211,0.22,0,,,,,,
0.2211,0.23,0,,,,,,
0.2211,0.24,0,,,,,,
0.2215,0,0,,,,,,
0.2215,0.1,0,,,,,,
0.2215,0.2,0,,,,,,
0.2215,0.17,0,,,,,,
0.2215,0.4,0,,,,,,
0.2215,0.5,0,,,,,,
0.2215,0.6,0,,,,,,
0.2215,0.7,0,,,,,,
0.2215,0.8,0,,,,,,
0.2215,0.9,0,,,,,,
0.2215,0.11,0,,,,,,
0.2215,0.12,0,,,,,,
0.2215,0.13,0,,,,,,
0.2215,0.14,0,,,,,,
0.2215,0.15,0,,,,,,
0.2215,0.16,0,,,,,,
0.2215,0.18,0,,,,,,
0.2215,0.19,0,,,,,,
0.2215,0.21,0,,,,,,
0.2215,0.22,0,,,,,,
0.2215,0.23,0,,,,,,
0.2215,0.24,0,,,,,,
0.2220,0,0,,,,,,
0.2220,0.1,0,,,,,,
0.2220,0.2,0,,,,,,
0.2220,0.17,0,,,,,,
0.2220,0.4,0,,,,,,
0.2220,0.5,0,,,,,,
0.2220,0.6,0,,,,,,
0.2220,0.7,0,,,,,,
0.2220,0.8,0,,,,,,
0.2220,0.9,0,,,,,,
0.2220,0.11,0,,,,,,
0.2220,0.12,0,,,,,,
0.2220,0.13,0,,,,,,
0.2220,0.14,0,,,,,,
0.2220,0.15,0,,,,,,
0.2220,0.16,0,,,,,,
0.2220,0.18,0,,,,,,
0.2220,0.19,0,,,,,,
0.2220,0.21,0,,,,,,
0.2220,0.22,0,,,,,,
0.2220,0.23,0,,,,,,
0.2220,0.24,0,,,,,,
0.2225,0,0,,,,,,
0.2225,0.1,0,,,,,,
0.2225,0.2,0,,,,,,
0.2225,0.17,0,,,,,,
0.2225,0.4,0,,,,,,
0.2225,0.5,0,,,,,,
0.2225,0.6,0,,,,,,
0.2225,0.7,0,,,,,,
0.2225,0.8,0,,,,,,
