RAW_DATA,DATE,LINE,RESULT,FULL_DATE,FREE_CELL,TOTAL_ZEROS,TOTAL_ONES,RATIO,
,,,,,24230,"20,755.00",3475,20755:3475,
21:50:12.269818|0.0|0.0|2019-04-11 01:50:12.269878,21:50:12,0,0,2019-04-11 1:50:12,,,,,
21:50:13.433388|0.1|0.0|2019-04-11 01:50:13.433469,21:50:13,0.1,0,2019-04-11 1:50:13,,,,Train Not Delayed,0
21:50:14.960330|0.2|0.0|2019-04-11 01:50:14.960397,21:50:15,0.2,0,2019-04-11 1:50:15,,,,Train Delayed,0.1
21:50:16.221675|0.17|0.0|2019-04-11 01:50:16.221719,21:50:16,0.17,0,2019-04-11 1:50:16,,,,,
21:50:17.842987|0.4|0.0|2019-04-11 01:50:17.843043,21:50:18,0.4,0,2019-04-11 1:50:18,,,,Date,Time of data scrape
21:50:18.999976|0.5|0.0|2019-04-11 01:50:19.000039,21:50:19,0.5,0,2019-04-11 1:50:19,,,,Full Date,Time is a bit off because of server times
21:50:20.726303|0.6|0.0|2019-04-11 01:50:20.726363,21:50:21,0.6,0,2019-04-11 1:50:21,,,,,
21:50:21.738813|0.7|0.0|2019-04-11 01:50:21.738933,21:50:22,0.7,0,2019-04-11 1:50:22,,,,2,0
21:50:24.059375|0.8|0.0|2019-04-11 01:50:24.059443,21:50:24,0.8,0,2019-04-11 1:50:24,,,,3,0.1
21:50:25.042815|0.9|0.0|2019-04-11 01:50:25.042871,21:50:25,0.9,0,2019-04-11 1:50:25,,,,1,0.2
21:50:26.482946|0.11|0.0|2019-04-11 01:50:26.482989,21:50:26,0.11,0,2019-04-11 1:50:26,,,,S,0.3
21:50:27.455360|0.12|0.0|2019-04-11 01:50:27.455422,21:50:27,0.12,0,2019-04-11 1:50:27,,,,W,0.4
21:50:28.634068|0.13|0.0|2019-04-11 01:50:28.634108,21:50:29,0.13,0,2019-04-11 1:50:29,,,,SIR,0.5
21:50:29.945269|0.14|0.0|2019-04-11 01:50:29.945322,21:50:30,0.14,0,2019-04-11 1:50:30,,,,Z,0.6
21:50:31.324827|0.15|0.0|2019-04-11 01:50:31.324884,21:50:31,0.15,0,2019-04-11 1:50:31,,,,N,0.7
21:50:32.563007|0.16|0.0|2019-04-11 01:50:32.563064,21:50:33,0.16,0,2019-04-11 1:50:33,,,,L,0.8
21:50:34.139242|0.18|0.0|2019-04-11 01:50:34.139297,21:50:34,0.18,0,2019-04-11 1:50:34,,,,M,0.9
21:50:35.216103|0.19|0.0|2019-04-11 01:50:35.216147,21:50:35,0.19,0,2019-04-11 1:50:35,,,,R,0.1
21:50:36.377483|0.21|0.0|2019-04-11 01:50:36.377546,21:50:36,0.21,0,2019-04-11 1:50:36,,,,Q,0.11
21:50:37.574514|0.22|0.0|2019-04-11 01:50:37.574563,21:50:38,0.22,0,2019-04-11 1:50:38,,,,F,0.12
21:50:38.659276|0.23|0.0|2019-04-11 01:50:38.659317,21:50:39,0.23,0,2019-04-11 1:50:39,,,,G,0.13
21:50:39.884488|0.24|0.0|2019-04-11 01:50:39.884531,21:50:40,0.24,0,2019-04-11 1:50:40,,,,D,0.14
21:55:40.822273|0.0|0.0|2019-04-11 01:55:40.822349,21:55:41,0,0,2019-04-11 1:55:41,,,,E,0.15
