STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,ENTRY_DELTA,EXITS                                                               ,EXIT_DELTA,Diff
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,3:00:00,REGULAR,26549429,,10971426,,
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,7:00:00,REGULAR,26549491,62,10971469,43,19
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,11:00:00,REGULAR,26549782,291,10971713,244,47
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,15:00:00,REGULAR,26550569,787,10972236,523,264
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,19:00:00,REGULAR,26551747,1178,10972721,485,693
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,23:00:00,REGULAR,26552530,783,10973033,312,471
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,7:00:00,REGULAR,26599484,33,10856483,47,-14
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,11:00:00,REGULAR,26599664,180,10856691,208,-28
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,15:00:00,REGULAR,26600348,684,10857121,430,254
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,19:00:00,REGULAR,26601386,1038,10857588,467,571
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,23:00:00,REGULAR,26602026,640,10857869,281,359
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,7:00:00,REGULAR,14462900,30,5694023,43,-13
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,11:00:00,REGULAR,14463037,137,5694299,276,-139
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,15:00:00,REGULAR,14463655,618,5694703,404,214
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,19:00:00,REGULAR,14464604,949,5695083,380,569
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,23:00:00,REGULAR,14465169,565,5695278,195,370
34 ST-HERALD SQ,BDFMNQRW,BMT,2/23/19,7:00:00,REGULAR,67600236,0,18220819,12,-12
